#
#--main characters
Fry, Philip, J., fry@futurama.org
Turanga, Leela, , leela@futurama.org
Rodriguez, Bender, Bending, bender@futurama.org
Farnsworth, Hubert, J., professor@futurama.org
Zoidberg, John, A., zoidberg@futurama.org
Conrad, Hermes, , hermes@futurama.org
Wong, Amy, , amy@futurama.org
#
#--recurring characters
Brannigan, Zapp, , brannigan@futurama.org
Kroker, Kif, , kif@futurama.org
Nibbler, Lord, , nibbler@fututama.org
#
#--ocassional characters
Annihilator, Morbo, , morbo@futurama.org
van Schoonhoven, Linda, , vanschoonhoven@futurama.org
Clampazzo, Francis, X., clamps@futurama.org
Mousepad, Joey, , mousepad@futurama.org
Wernstrom, Ogden, , wernstrom@futurama.org
